plot,year,annualprec,summerpdsi,wintertemp
118,1940,1.5982,0.405655738,2.664835165
118,1941,1.2455,-2.442377049,3.828888889
118,1942,1.8639,0.204754098,4.445555556
118,1943,1.7052,0.063196721,5.785555556
118,1944,1.8507,-0.447540984,6.483516484
118,1945,1.658,-0.635327869,7.646666667
118,1946,1.8919,-0.45557377,7.353333333
118,1947,1.7468,-1.261393443,4.565555556
118,1948,2.1786,0.002213115,6.006593407
118,1949,2.2884,3.096065574,8.178888889
118,1950,1.7915,0.038278689,7.967777778
118,1951,1.8378,0.340163934,6.051111111
118,1952,1.6797,-1.191967213,6.816483516
118,1953,1.7063,-1.011967213,6.798888889
118,1954,1.685,-1.150655738,6.196666667
118,1955,1.7685,0.377213115,5.764444444
118,1956,1.779,-0.495163934,5.665934066
118,1957,2.1677,-0.010081967,6.687777778
118,1958,1.4226,-0.239016393,2.645555556
118,1959,1.8722,-0.241147541,5.445555556
118,1960,1.706,-0.102295082,3.328571429
118,1961,2.1079,1.18295082,6.111111111
118,1962,1.679,-0.292377049,5.981111111
118,1963,1.5328,-0.07,4.552222222
118,1964,2.1844,0.084180328,4.584615385
118,1965,1.4582,-0.39057377,5.098888889
118,1966,1.9397,-0.080737705,4.375555556
118,1967,2.084,1.270327869,6.193333333
118,1968,1.5141,-0.908442623,4.085714286
118,1969,2.0449,0.768360656,3.834444444
118,1970,1.6457,-0.005737705,4.231111111
118,1971,2.0314,0.434098361,4.547777778
118,1972,1.9442,0.000983607,5.774725275
118,1973,2.2545,2.320737705,6.376666667
118,1974,1.9506,-0.358360656,8.603333333
118,1975,2.1873,-0.536967213,6.631111111
118,1976,1.9534,-0.729590164,6.494505495
118,1977,1.8776,-0.276721311,3.841111111
118,1978,1.3914,-1.763688525,2.95
118,1979,2.3148,2.647540984,4.663333333
118,1980,1.7163,-0.801557377,4.798901099
118,1981,1.4375,-2.508606557,4.093333333
118,1982,1.846,-0.759918033,5.955555556
118,1983,2.1011,0.068360656,5.292222222
118,1984,1.8003,0.590901639,5.068131868
118,1985,1.3679,-2.183196721,4.913333333
118,1986,1.2394,-4.153852459,5.907777778
118,1987,1.4788,-1.575491803,5.388888889
118,1988,1.2672,-2.438770492,4.603296703
118,1989,2.3412,2.376967213,7.525555556
118,1990,2.0945,-0.714508197,8.241111111
118,1991,1.7321,-0.276885246,6.726666667
118,1992,2.2813,0.946639344,6.402197802
118,1993,1.5845,-1.023852459,5.206666667
118,1994,2.1348,1.483934426,5.548888889
118,1995,1.9307,0.160655738,6.458888889
118,1996,2.0407,0.544098361,4.195604396
118,1997,1.9404,0.630409836,7.416666667
118,1998,1.7435,-0.813934426,6.403333333
118,1999,1.5742,-0.762622951,6.268888889
118,2000,1.2381,-2.340819672,6.827472527
118,2001,1.395,-1.873278689,5.512222222
118,2002,1.7834,-1.69942623,6.425555556
118,2003,2.1085,0.903606557,5.595555556
118,2004,1.8247,-0.777295082,5.867032967
118,2005,2.0744,1.877377049,6.388888889
118,2006,1.433,-2.055245902,6.686666667
118,2007,1.2129,-2.853196721,6.941111111
118,2008,1.5163,-2.488114754,5.88021978
118,2009,2.3749,0.34204918,5.661111111
118,2010,1.4757,-1.618032787,3.204444444
118,2011,2.0559,-0.377540984,6.097777778
118,2012,1.712,-0.148852459,8.63956044
118,2013,2.0845,0.765327869,5.492222222
218,1940,1.624,0.37,1.7
218,1941,1.2628,-2.4025,2.733333333
218,1942,1.8856,0.2075,3.366666667
218,1943,1.7201,0.0525,4.8
218,1944,1.8691,-0.4425,5.633333333
218,1945,1.6765,-0.6125,6.766666667
218,1946,1.914,-0.515,6.466666667
218,1947,1.768,-1.2625,3.533333333
218,1948,2.2069,-2.78E-17,5.2
218,1949,2.3197,3.095,7.333333333
218,1950,1.8206,0.045,7.1
218,1951,1.8568,0.34,5.133333333
218,1952,1.6969,-1.205,6
218,1953,1.7303,-1,5.933333333
218,1954,1.7054,-1.155,5.266666667
218,1955,1.7869,0.365,4.8
218,1956,1.7953,-0.505,4.866666667
218,1957,2.1935,0.01,5.833333333
218,1958,1.4431,-0.2525,1.466666667
218,1959,1.901,-0.245,4.533333333
218,1960,1.7246,-0.1525,2.333333333
218,1961,2.1291,1.15,5.233333333
218,1962,1.7021,0.0075,5.133333333
218,1963,1.55,-0.06,3.533333333
218,1964,2.2088,0.9375,3.6
218,1965,1.4785,-0.385,4.1
218,1966,1.958,-0.095,3.4
218,1967,2.1053,1.2525,5.166666667
218,1968,1.5358,-0.91,3.033333333
218,1969,2.0742,0.765,2.833333333
218,1970,1.6688,-0.005,3.233333333
218,1971,2.0511,0.4225,3.533333333
218,1972,1.9644,-0.005,4.833333333
218,1973,2.2811,2.3275,5.4
218,1974,1.9814,-0.375,7.7
218,1975,2.2153,-0.5325,5.733333333
218,1976,1.9792,-0.7125,5.733333333
218,1977,1.9005,-0.295,2.833333333
218,1978,1.4098,-1.76,1.833333333
218,1979,2.3514,2.715,3.666666667
218,1980,1.7352,-0.7775,3.8
218,1981,1.4551,-2.4875,3.1
218,1982,1.8658,-0.775,5.1
218,1983,2.1206,0.08,4.266666667
218,1984,1.8158,0.595,4.133333333
218,1985,1.3858,-2.1825,3.933333333
218,1986,1.2595,-4.18,5
218,1987,1.4952,-1.585,4.433333333
218,1988,1.2865,-2.425,3.666666667
218,1989,2.3698,2.405,6.6
218,1990,2.1169,-0.7225,7.4
218,1991,1.7574,-0.2625,5.8
218,1992,2.3049,0.9475,5.633333333
218,1993,1.5967,-0.9375,4.566666667
218,1994,2.162,1.41,4.7
218,1995,1.9505,0.15,5.3
218,1996,2.0648,0.535,3.266666667
218,1997,1.962,0.6375,6.5
218,1998,1.765,-0.795,5.633333333
218,1999,1.5939,-0.745,4.466666667
218,2000,1.2543,-2.32,5.966666667
218,2001,1.4117,-1.885,4.733333333
218,2002,1.8056,-1.055,5.4
218,2003,2.135,0.8925,4.866666667
218,2004,1.8532,-0.795,5.1
218,2005,2.103,1.88,5.666666667
218,2006,1.4533,-2.0425,5.666666667
218,2007,1.2303,-2.835,5.866666667
218,2008,1.5392,-2.47,4.833333333
218,2009,2.3931,0.33,4.7
218,2010,1.4914,-1.5675,2.033333333
218,2011,2.0694,-0.3875,5.133333333
218,2012,1.7325,-0.155,7.666666667
218,2013,2.1091,0.77,4.566666667
